"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","SIL3"
"MG209","MonumentoGaribaldi","1",0.0524245914411396,0.223955942302916,NA,NA,NA,53.3694075939709,38.9,2.63,0.0465,0.283,0.00631,0.373,72.51,3.03,10.38,63.03
"MG210","MonumentoGaribaldi","1",0.07082331670705,0.0578279515558304,NA,NA,NA,139.066376598455,62.9,4.35,0.062,0.415,0.0174,0.224,79.67,7.03,3.55,71.88
"MG211","MonumentoGaribaldi","1",0.114470643625451,0.244392933312377,NA,NA,NA,44.4074257754591,35.1,2.39,0.0471,0.254,0.00687,0.526,71.59,2.23999999999999,10.48,61.44
"MG212","MonumentoGaribaldi","1",0.133021275683285,0.26107295936254,NA,NA,NA,41.7390909003098,34.7,2.24,0.0497,0.271,0.00483,0.547,71.22,2.94,11.16,60.73
"MG213","MonumentoGaribaldi","1",0.0530285245810009,0.0986623588980992,NA,NA,NA,93.2955282891431,48.3,3.86,0.0622,0.452,0.00959,0.224,75.99,5.04000000000001,5.15000000000001,68.77
"MG214","MonumentoGaribaldi","1",0.0362797010960137,0.158373454894079,NA,NA,NA,60.379020749454,38.1,3.14,0.0456,0.36,0.0079,0.265,72.24,2.40000000000001,7.80000000000001,64.75
"MG215","MonumentoGaribaldi","1",0.218167674552445,0.173145467173427,NA,NA,NA,25.4642026620975,24.5,1.84,0.0418,0.364,0.0146,0.563,64.22,7.73,11.56,53.78
"MG216","MonumentoGaribaldi","1",0.189114518169311,0.205730515359974,NA,NA,NA,30.3618489701354,27.5,2.01,0.0501,0.298,0.00702,0.516,67.85,3.17999999999999,11.78,56.5
"MG217","MonumentoGaribaldi","1",0.176751209515495,0.200919699989347,NA,NA,NA,29.6830486895569,26.9,2.01,0.0473,0.288,0.00667,0.415,67.28,2.26000000000001,11.6,56.23
"MG218","MonumentoGaribaldi","1",0.170462740373878,0.225108398463745,NA,NA,NA,30.5845623018005,27.9,1.99,0.0431,0.266,0.0089,0.486,67.7,2.53,11.27,56.98
"MG219","MonumentoGaribaldi","1",0.131099497995304,0.250226457729142,NA,NA,NA,42.0313561491076,35.4,2.2,0.0524,0.276,0.00937,0.522,71.6,3.17,11.36,60.16
