"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"ET404","EustonTap","1",-0.106250997892343,0.119772866614116,2.84455573906418,3.60930908370445,2.03037167491391,15.1126451354213,14.9,1.67,0.0286,0.293,0.00532,0.159,58.56,2.64,10.71,49.4
"ET405","EustonTap","1",-0.116261181044253,0.245835245819412,2.77182098680991,3.68413084216113,1.70462361643232,22.8278900220474,22,1.84,0.0402,0.308,0.00449,0.125,66.89,3.92999999999999,6.34,56.76
"ET406","EustonTap","1",-0.101080964231784,0.104464486380026,2.93253570805876,3.64178366226785,1.93760713454222,15.7477709945166,15.5,1.53,0.0318,0.33,0.00717,0.23,59.79,4.39,13.6,48.3
"ET407","EustonTap","1",-0.138073041919347,0.255562471600221,2.69716754533019,3.77688385055658,1.61239663794455,27.8491103760016,26.8,1.84,0.0454,0.316,0.00481,0.165,68.41,6.58000000000001,6.89,57.67
"ET408","EustonTap","1",-0.109504138333272,0.161043211386236,2.79142838910334,3.86971616740816,2.18730837103524,16.0345128266808,15.8,1.52,0.0318,0.311,0.00364,0.0649,59.59,7.23999999999999,7.7,47.93
"ET409","EustonTap","1",-0.182956863062194,0.253765263386032,2.62583654058597,4.23401011800223,1.62163383131056,31.2375558277004,29.1,1.93,0.0441,0.315,0.00537,0.172,69.98,16.48,6.16,58.47
"ET410","EustonTap","1",-0.158832335344159,0.180852636556377,2.84865630369625,3.96770981332961,1.81257792638553,22.7251936641266,22.4,1.6,0.0355,0.284,0.00449,0.359,64.31,13.06,10.5,51.85
"ET411","EustonTap","1",-0.123241691464394,0.136282562648574,2.86275905545816,3.76590616311685,2.00480972601032,18.2652493166334,18,1.6,0.0329,0.299,0.00435,0.274,60.95,7.63,10.69,49.3
"ET412","EustonTap","1",-0.100149626973668,0.14430573359572,2.80928428439373,3.66100178790521,1.96336292583775,18.8197129850512,17.7,1.92,0.0353,0.394,0.00354,0.0679,63,2.69,8.43000000000001,52.93
"ET413","EustonTap","1",-0.110966990011976,0.161342754213119,2.84515938269855,3.72107390102088,1.97032032043926,18.3830817218998,18.1,1.71,0.0342,0.403,0.00582,0.0725,61.94,4.07,8.74000000000001,51.38
"ET414","EustonTap","1",-0.0987134466054481,0.256164891266827,2.78993982976549,3.70133991793892,1.87544918269349,19.8265996015683,19.5,1.63,0.0394,0.306,0.00392,0.0533,65.36,3.48,5.27,53.79
"ET415","EustonTap","1",-0.0783298593723049,0.128307822802622,2.83738703596227,3.59205806185905,1.9048540575294,15.6572012461651,15.4,1.72,0.0354,0.338,0.00408,0.068,62.05,1.28,11.5,50.93
"ET416","EustonTap","1",-0.184310826563281,0.14033802020058,2.51635433491917,3.75779205587949,1.70475409913271,34.5884206000934,29.9,2.14,0.0405,0.31,0.00572,0.226,67.07,6.81000000000001,10,56.84
"ET417","EustonTap","1",-0.12265357863914,0.129277512174092,2.77570080517617,3.53369741820626,1.67507511669006,22.4438647455643,21,1.93,0.0359,0.299,0.00408,0.238,64.53,2.05,12.7,54.59
"ET418","EustonTap","1",-0.110535025535249,0.174678026707018,2.82926541117581,3.59612958333729,1.87510064455558,18.9778548755392,18.2,1.86,0.0339,0.294,0.00539,0.2,63.33,2.88,8.07000000000001,53.86
"ET419","EustonTap","1",-0.18934965210206,0.206337226522204,2.63233432869001,3.66227550712068,1.42801708926794,43.9291480773218,34.1,2.45,0.0473,0.357,0.00631,0.409,73,7.03,7.28,63.64
"ET420","EustonTap","1",-0.142445978277361,0.220651609573843,2.63587835589585,3.57765810124842,1.6960518253654,29.9093222877716,25.7,2.17,0.0396,0.344,0.00668,0.0923,68.93,1.08999999999999,5.22999999999999,59.47
"ET421","EustonTap","1",-0.11382786792992,0.220218767430603,2.66838319941126,3.60555455406099,1.73560075402913,25.1047181982338,22.9,2,0.0412,0.313,0.00502,0.0581,68.52,1.39,6.18000000000001,57.44
"ET422","EustonTap","1",-0.108474954989361,0.102392981486026,2.67882951710799,3.57179980865331,1.91773511219929,21.2477901783771,19,2.07,0.0351,0.295,0.0128,0.114,63.85,1.3,9.45,53.95
"ET423","EustonTap","1",-0.105496100511878,0.100889375975431,2.74610092468983,3.83382531289822,2.09767402971143,15.6256740097679,15.1,1.84,0.0311,0.295,0.00375,0.0822,60.25,6.58,9.83,50.03
"ET424","EustonTap","1",-0.145405926725057,0.145498886665025,2.69285977981084,3.88685296506202,1.80945123396441,26.6296705499804,23.1,2.15,0.0381,0.326,0.00638,0.208,65.53,9.31,8.28999999999999,56.4
"ET425","EustonTap","1",-0.198896375953346,0.234753010614028,2.60509772082176,4.0093903823602,1.73999112452294,33.1331088384768,30.3,1.98,0.0406,0.322,0.00603,0.24,69.18,12.4,5.36,57.66
"ET426","EustonTap","1",-0.165913424402782,0.255009989122988,2.60214828690749,3.94003727922176,1.64080175453201,32.0787491592715,30.3,1.89,0.047,0.349,0.00585,0.132,69.35,9.73,6.11,58
"ET427","EustonTap","1",-0.235724032397005,0.292845954177004,2.36979816528454,3.89328707334741,1.50205151979417,43.6518426301061,39,2.03,0.0463,0.328,0.0057,0.118,72.8,8.39,4.63000000000001,61.37
"ET428","EustonTap","1",-0.154488908679725,0.17678513076656,2.71784054239408,3.94505579889534,1.9002783564848,22.5116846331124,22.2,1.73,0.0345,0.324,0.00389,0.14,63.03,9.73999999999999,8.73999999999999,52.4
"ET429","EustonTap","1",-0.199962954635981,0.320040305478143,2.46970391610003,3.95275021978861,1.46081921783655,39.7527703284339,36.1,1.99,0.0498,0.33,0.00497,0.0992,73.9,9.53,3.94999999999999,61.98
"ET430","EustonTap","1",-0.106730182676374,0.0734963132476187,2.74545604662612,3.7932620295037,2.10751403372229,15.6018221169762,14.8,1.9,0.0297,0.325,0.00319,0.0667,59.37,5.47,10.87,49.77
"ET431","EustonTap","1",-0.261079348783304,0.264808706517685,2.52191223445674,4.19170747878391,1.4191813121488,42.0888572390151,37.5,2.04,0.042,0.307,0.00567,0.329,72.45,17.38,7.17,61.25
"ET432","EustonTap","1",-0.21372091029628,0.252986697306033,2.60261208952664,4.05582735407964,1.64755292867885,31.4486168663074,31,1.76,0.0386,0.322,0.00505,0.188,67.66,12.72,7.18000000000001,56.58
