"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA"
"ET416","EustonTap","1",-0.187778369742641,0.17740265086976,NA,NA,NA,34.5884206000934,29.9,2.14,0.0405,0.31,0.00572,0.226,67.07,6.81000000000001,10
"ET417","EustonTap","1",-0.125912710124954,0.162347707492518,NA,NA,NA,22.4438647455643,21,1.93,0.0359,0.299,0.00408,0.238,64.53,2.05,12.7
"ET418","EustonTap","1",-0.0484932202071697,0.140367484572835,NA,NA,NA,18.9778548755392,18.2,1.86,0.0339,0.294,0.00539,0.2,63.33,2.88,8.07000000000001
"ET419","EustonTap","1",-0.276638511903165,0.281153016083136,NA,NA,NA,43.9291480773218,34.1,2.45,0.0473,0.357,0.00631,0.409,73,7.03,7.28
"ET420","EustonTap","1",-0.120898156987348,0.18609172754394,NA,NA,NA,29.9093222877716,25.7,2.17,0.0396,0.344,0.00668,0.0923,68.93,1.08999999999999,5.22999999999999
"ET421","EustonTap","1",-0.118480542909443,0.200162420803943,NA,NA,NA,25.1047181982338,22.9,2,0.0412,0.313,0.00502,0.0581,68.52,1.39,6.18000000000001
"ET422","EustonTap","1",-0.0685950541507017,0.0937893253198147,NA,NA,NA,21.2477901783771,19,2.07,0.0351,0.295,0.0128,0.114,63.85,1.3,9.45
"ET423","EustonTap","1",-0.0319349147624871,0.0627096441179357,NA,NA,NA,15.6256740097679,15.1,1.84,0.0311,0.295,0.00375,0.0822,60.25,6.58,9.83
"ET424","EustonTap","1",-0.141454633855327,0.140593345877138,NA,NA,NA,26.6296705499804,23.1,2.15,0.0381,0.326,0.00638,0.208,65.53,9.31,8.28999999999999
"ET425","EustonTap","1",-0.20013781375989,0.24678824117791,NA,NA,NA,33.1331088384768,30.3,1.98,0.0406,0.322,0.00603,0.24,69.18,12.4,5.36
"ET426","EustonTap","1",-0.194255962849457,0.24557108979902,NA,NA,NA,32.0787491592715,30.3,1.89,0.047,0.349,0.00585,0.132,69.35,9.73,6.11
"ET427","EustonTap","1",-0.249120439715059,0.291910841291739,NA,NA,NA,43.6518426301061,39,2.03,0.0463,0.328,0.0057,0.118,72.8,8.39,4.63000000000001
"ET428","EustonTap","1",-0.0984787933748855,0.145847864419709,NA,NA,NA,22.5116846331124,22.2,1.73,0.0345,0.324,0.00389,0.14,63.03,9.73999999999999,8.73999999999999
"ET429","EustonTap","1",-0.260243704522342,0.318106455584182,NA,NA,NA,39.7527703284339,36.1,1.99,0.0498,0.33,0.00497,0.0992,73.9,9.53,3.94999999999999
"ET430","EustonTap","1",-0.022287597656866,0.0337118201572771,NA,NA,NA,15.6018221169762,14.8,1.9,0.0297,0.325,0.00319,0.0667,59.37,5.47,10.87
"ET431","EustonTap","1",-0.324421999105511,0.319879958456392,NA,NA,NA,42.0888572390151,37.5,2.04,0.042,0.307,0.00567,0.329,72.45,17.38,7.17
"ET432","EustonTap","1",-0.194273291991003,0.24199039218392,NA,NA,NA,31.4486168663074,31,1.76,0.0386,0.322,0.00505,0.188,67.66,12.72,7.18000000000001
"ET433","EustonTap","1",-0.208126387245284,0.232863652878011,NA,NA,NA,32.5065849366824,30.5,1.91,0.0386,0.305,0.00478,0.184,68.36,12.54,7.25
"ET434","EustonTap","1",-0.2124216098127,0.245273817851444,NA,NA,NA,43.3250086011468,39.3,1.99,0.0407,0.321,0.0044,0.17,69.67,5.77000000000001,7.5
"ET435","EustonTap","1",-0.0424415953435299,0.10144373253933,NA,NA,NA,19.7176423703781,18.6,1.91,0.0322,0.309,0.00609,0.243,61.47,7.01,8.11
"ET436","EustonTap","1",-0.143954920308457,0.23498451760055,NA,NA,NA,28.5471345369746,27.2,1.87,0.0405,0.311,0.00486,0.172,68.27,7.37,5.18000000000001
"ET437","EustonTap","1",-0.192074277263998,0.217792049652989,NA,NA,NA,29.0807944772306,28.7,1.71,0.0359,0.322,0.00442,0.114,66.68,14.93,7.66999999999999
"ET438","EustonTap","1",-0.268562969901216,0.279514976421687,NA,NA,NA,43.9831872201991,35,2.37,0.0415,0.325,0.00708,0.439,72.11,13.06,4.88
"MC501","MarchmontGarden","1",0.212711630029085,-0.0397607542792505,NA,NA,NA,12.5440159712672,12.1,1.85,0.0239,0.422,0.00994,0.133,55.61,10.21,8.53
"MC502","MarchmontGarden","1",0.398533062463406,-0.172061935895883,NA,NA,NA,6.62701776727896,6.53,1.48,0.0213,0.357,0.00414,0.0687,46.46,2.99,13.92
"MC503","MarchmontGarden","1",0.208467718139801,-0.0368051364047139,NA,NA,NA,11.7686038905193,11.6,1.56,0.0251,0.337,0.00678,0.185,52.91,11.68,10.56
"MC504","MarchmontGarden","1",0.458482907778532,-0.211249271693924,NA,NA,NA,5.68104610546136,5.6,1.57,0.0199,0.312,0.00321,0.0497,45.31,1.72,11.95
"MC505","MarchmontGarden","1",0.415512273025172,-0.202251826887024,NA,NA,NA,9.12786187672459,8.26,2.08,0.0221,0.341,0.00533,0.101,49.31,2.26000000000001,10.25
"MC506","MarchmontGarden","1",0.267688989904274,-0.0561536697073392,NA,NA,NA,12.8676216364757,12.6,1.8,0.0242,0.302,0.00424,0.191,53.55,8.34999999999999,9.58000000000001
"MC507","MarchmontGarden","1",0.239922007227849,-0.01736592605754,NA,NA,NA,12.0838844888026,11.9,1.75,0.0286,0.398,0.00482,0.149,55.48,7,10.61
"MC508","MarchmontGarden","1",0.310458099206949,-0.12736386729934,NA,NA,NA,9.99086956138929,9.4,1.94,0.0234,0.381,0.00556,0.124,51.76,5.55,11.33
"MC509","MarchmontGarden","1",0.220554304615211,-0.0803301455546529,NA,NA,NA,13.169237851032,13,1.75,0.0232,0.416,0.00685,0.126,52.71,10.5,11.96
"MC510","MarchmontGarden","1",0.298794304667841,-0.0827513433758013,NA,NA,NA,8.031184162448,7.9,1.44,0.0241,0.411,0.00738,0.144,50.13,2.73,17.77
"MC511","MarchmontGarden","1",0.285736281905373,-0.0420786287862761,NA,NA,NA,8.61580234590921,8.47,1.43,0.0262,0.373,0.0071,0.165,51.86,4.15,14.63
"MC512","MarchmontGarden","1",0.225593676681793,0.0439597507549488,NA,NA,NA,15.9146456802047,15.7,1.48,0.0281,0.316,0.00502,0.0991,56.9,6.98,11.19
"MC513","MarchmontGarden","1",0.318955869143954,-0.0367819129494313,NA,NA,NA,7.98308711486126,7.85,1.33,0.025,0.351,0.00683,0.201,51.04,1.63,16.22
"MC514","MarchmontGarden","1",0.284565304672948,-0.0745106955785393,NA,NA,NA,7.51556083371623,7.4,1.22,0.0235,0.315,0.00463,0.0972,49.09,6.2,15.6
"MC515","MarchmontGarden","1",0.28276115569103,-0.0603693629470973,NA,NA,NA,9.128570844715,8.99,1.41,0.0233,0.371,0.0076,0.0972,51.42,5.87,13.39
"MC516","MarchmontGarden","1",0.297939562681075,-0.107604262563357,NA,NA,NA,7.21544024175309,7.1,1.38,0.0229,0.399,0.00649,0.0858,48.89,5.55,15.54
"MC517","MarchmontGarden","1",0.249781312171414,-0.136332644986468,NA,NA,NA,8.36815178956737,8.19,1.61,0.0241,0.533,0.0217,0.097,50.13,5.85,17.78
"MC518","MarchmontGarden","1",0.16135830546969,-0.0300035324949911,NA,NA,NA,10.3888230709565,10.2,1.61,0.0245,0.451,0.017,0.128,54.79,11.72,11.18
