"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"MC535","MarchmontGarden","1",0.315776476760143,-0.14070572788125,NA,NA,NA,8.99081156899391,8.86,1.49,0.0232,0.34,0.00572,0.11,48.94,3.08,16.63,9.97
"MC536","MarchmontGarden","1",0.247741896598697,-0.0918147412826475,NA,NA,NA,7.98657894501519,7.86,1.43,0.0252,0.318,0.00433,0.0622,49.93,3.93,12.96,9.68
"MC537","MarchmontGarden","1",0.355179850078949,-0.249080972699694,NA,NA,NA,8.89178787206515,7.81,2.19,0.0228,0.314,0.00784,0.139,49.25,1.38,16.16,10.2
"MC538","MarchmontGarden","1",0.196597422325452,-0.142251791764286,NA,NA,NA,7.67523629021092,7.53,1.74,0.0236,0.458,0.0142,0.118,49.54,4.48,11.41,10.4
"MC539","MarchmontGarden","1",0.132393285032999,-0.0351359663448488,NA,NA,NA,9.33018104430581,9.18,1.47,0.024,0.397,0.00954,0.0737,51.6,6.14,8.46,9.74
"MC540","MarchmontGarden","1",0.0561434045300119,-0.00190670123773064,NA,NA,NA,10.3963759937948,10.2,1.53,0.0268,0.405,0.0157,0.121,53.11,9.66999999999999,7.12,9.88
"MC541","MarchmontGarden","1",0.0399137645244063,0.0778787989062565,NA,NA,NA,18.1456788268483,17.5,1.84,0.0302,0.508,0.0184,0.15,58.89,12.31,5.36,10.5
"MG201","MonumentoGaribaldi","1",0.291183194390869,0.261704754300109,NA,NA,NA,25.5547509215931,24.8,1.82,0.0352,0.27,0.00555,0.428,65.34,7.78,9.89,10.7
"MG202","MonumentoGaribaldi","1",0.291430972852855,0.242813919845484,NA,NA,NA,25.918123413547,24.7,1.87,0.0407,0.339,0.0102,0.323,66.01,7.12,8.89,11.5
"MG203","MonumentoGaribaldi","1",0.290882871037005,0.252331052012908,NA,NA,NA,28.0199511178239,25.4,2.01,0.0558,0.358,0.01,0.338,67.21,3.5,8.13000000000001,12
"MG204","MonumentoGaribaldi","1",0.285837391765961,0.299411399083989,NA,NA,NA,28.5828694850409,26.2,1.97,0.0829,0.412,0.00425,0.307,68.6,2.22999999999999,6.62,11.7
"MG205","MonumentoGaribaldi","1",0.312743618226005,0.335783728846891,NA,NA,NA,23.2234763114705,22.1,1.74,0.132,0.403,0.0031,0.38,67.58,1.98999999999999,6.89,11.2
"MG206","MonumentoGaribaldi","1",0.319272844241023,0.339279819735975,NA,NA,NA,22.2318799659455,21.2,1.67,0.124,0.393,0.00337,0.405,67.08,1.97,7.44,11.6
"MG207","MonumentoGaribaldi","1",0.317926716423249,0.349309807317577,NA,NA,NA,22.3876128139506,21.2,1.66,0.143,0.413,0.00345,0.429,67.04,1.98999999999999,6.97999999999999,11.1
"MG208","MonumentoGaribaldi","1",0.31622931859813,0.326939517330773,NA,NA,NA,22.5913368128971,21.5,1.7,0.13,0.418,0.0036,0.384,66.91,1.94,7.22,11.3
"MG209","MonumentoGaribaldi","1",0.216536517560709,0.24795602785925,NA,NA,NA,53.3694075939709,38.9,2.63,0.0465,0.283,0.00631,0.373,72.51,3.03,10.38,11.9
"MG210","MonumentoGaribaldi","1",0.0453381725574721,0.0940994680510809,NA,NA,NA,139.066376598455,62.9,4.35,0.062,0.415,0.0174,0.224,79.67,7.03,3.55,14.2
"MG211","MonumentoGaribaldi","1",0.241676010910137,0.306130386214648,NA,NA,NA,44.4074257754591,35.1,2.39,0.0471,0.254,0.00687,0.526,71.59,2.23999999999999,10.48,11.4
"MG212","MonumentoGaribaldi","1",0.244711928484858,0.327440228862889,NA,NA,NA,41.7390909003098,34.7,2.24,0.0497,0.271,0.00483,0.547,71.22,2.94,11.16,11.7
"MG213","MonumentoGaribaldi","1",0.143833313951639,0.103457032833427,NA,NA,NA,93.2955282891431,48.3,3.86,0.0622,0.452,0.00959,0.224,75.99,5.04000000000001,5.15000000000001,12.8
"MG214","MonumentoGaribaldi","1",0.215127804195736,0.145056892110978,NA,NA,NA,60.379020749454,38.1,3.14,0.0456,0.36,0.0079,0.265,72.24,2.40000000000001,7.80000000000001,12
"MG215","MonumentoGaribaldi","1",0.295104069160771,0.242680812238717,NA,NA,NA,25.4642026620975,24.5,1.84,0.0418,0.364,0.0146,0.563,64.22,7.73,11.56,10.1
"MG216","MonumentoGaribaldi","1",0.28794806496714,0.284127866750658,NA,NA,NA,30.3618489701354,27.5,2.01,0.0501,0.298,0.00702,0.516,67.85,3.17999999999999,11.78,10.8
"MG217","MonumentoGaribaldi","1",0.291140646122732,0.25032988304131,NA,NA,NA,29.6830486895569,26.9,2.01,0.0473,0.288,0.00667,0.415,67.28,2.26000000000001,11.6,10.5
"MG218","MonumentoGaribaldi","1",0.284077404909371,0.278736659702374,NA,NA,NA,30.5845623018005,27.9,1.99,0.0431,0.266,0.0089,0.486,67.7,2.53,11.27,10.2
"MG219","MonumentoGaribaldi","1",0.241087588742729,0.328497821284336,NA,NA,NA,42.0313561491076,35.4,2.2,0.0524,0.276,0.00937,0.522,71.6,3.17,11.36,10.7
"MG220","MonumentoGaribaldi","1",0.256553215235336,0.328246130641972,NA,NA,NA,37.771267024577,32.9,2.11,0.0525,0.257,0.00637,0.556,70.43,3.8,11.94,9.71
"MG301","MonumentoGaribaldi","1",0.302983889011322,0.15293352163907,NA,NA,NA,19.1861256363873,17.8,1.94,0.0289,0.673,0.0904,0.418,63.79,19.56,1.79,13.9
"MG302","MonumentoGaribaldi","1",0.347562655042655,0.000943378894203002,NA,NA,NA,8.82984495543683,8.64,1.72,0.0242,0.522,0.0234,0.152,52.98,11.78,1.61000000000001,8.27
"MG303","MonumentoGaribaldi","1",0.358742087914725,-0.119940223074869,NA,NA,NA,6.74643954568194,6.62,1.75,0.0213,0.489,0.0147,0.185,47.24,7.33000000000001,4.09,8.03
"MG304","MonumentoGaribaldi","1",0.368586636812195,-0.111487989927889,NA,NA,NA,5.77101161186543,5.65,1.42,0.0246,0.428,0.0122,0.0998,46.18,5.39,5.51,7.99
