"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"MG329","MonumentoGaribaldi","1",0.453279206253032,0.00454721246981447,8.54176439119442,8.36,1.39,0.0272,0.333,0.0175,0.464,51.25,9.86,7.14,7.99
"MG333","MonumentoGaribaldi","1",0.429944624791817,0.0806945296018739,8.91274913235561,8.71,1.61,0.0221,0.453,0.0303,0.299,53.72,16.18,1.4,8.41
"PL301","PancrasLock","1",0.36043634654976,0.0484965754547394,30.3027436298135,21.9,2.77,0.0313,0.314,0.00429,0.0266,66.19,0.849999999999994,3.61,11.6
"PL302","PancrasLock","1",0.378126391405383,0.0359079944791439,22.6837271855554,17.7,2.53,0.0279,0.312,0.00383,0.0348,63.09,0.990000000000002,3.92999999999999,10.6
"PL303","PancrasLock","1",0.390281571329648,0.000999723696542651,17.2531949506981,14.4,2.32,0.0264,0.328,0.00416,0.0385,60.02,1.96,4.57999999999999,10.2
"PL304","PancrasLock","1",0.300640936575688,-0.0807224969154789,8.98209510215572,8.86,1.73,0.023,0.301,0.00332,0.0662,52.34,2.66,10.85,9.92
"PL305","PancrasLock","1",0.262752003925541,-0.0579790447155545,10.2497165058565,9.92,1.84,0.0249,0.306,0.00806,0.0964,54.41,2.18,11.81,10.7
"PL306","PancrasLock","1",0.110217582070684,-0.157761283929773,11.1451831631083,9.91,2.13,0.0242,0.316,0.0138,0.0457,52.56,1.47,18.84,12.3
"PL307","PancrasLock","1",0.174835123488581,-0.00372763970109079,19.9720250922467,16.5,2.34,0.0293,0.323,0.00692,0.0259,60.91,0.719999999999999,12.58,13.2
"PL308","PancrasLock","1",0.113960090109991,-0.106166363945731,13.6812309544644,12.3,2.08,0.0262,0.33,0.00887,0.0793,54.69,2.19,17.02,12.9
"PL309","PancrasLock","1",0.401500567925541,-0.0361932487501798,10.4497897984206,10.3,1.75,0.0251,0.294,0.00474,0.176,54.67,3.79,5.52,8.82
"PL310","PancrasLock","1",0.186724862411191,-0.0333269855714924,10.6698302679422,10.5,1.67,0.0263,0.362,0.00806,0.121,54.64,4.61,14.53,11.9
"PL311","PancrasLock","1",0.318035126871629,-0.0339812456727413,10.3554145610998,10.2,1.67,0.0258,0.329,0.00554,0.151,54.46,3.01,9.15,10.1
"PL312","PancrasLock","1",0.345250703720106,-0.0373666485668367,10.248037835239,10.1,1.64,0.0242,0.36,0.00609,0.135,53.67,5.91,8.06,9.58
"PL313","PancrasLock","1",0.413602857008555,-0.0251565444469878,9.30772314110593,9.18,1.58,0.0233,0.311,0.00378,0.0716,53.43,3.94,5.81,8.86
"PL314","PancrasLock","1",0.288199219652724,0.0876247483525499,16.6389287614427,16.4,1.74,0.0275,0.395,0.0099,0.182,59.74,6.31,5.94,11.2
"PL315","PancrasLock","1",-0.00721658475043896,-0.0128999883255858,13.9216122774389,13.7,1.55,0.0285,0.347,0.0101,0.0825,55.33,4,20.48,13.8
"PL316","PancrasLock","1",0.339194086172642,-0.0218912858574264,15.4723120387189,13.4,2.2,0.027,0.311,0.00406,0.0284,58.63,0.920000000000002,7.02999999999999,10.5
"PL317","PancrasLock","1",0.373104764086502,0.021954170466594,24.2264955513924,18.7,2.56,0.0307,0.307,0.0043,0.0239,63.67,0.719999999999999,3.73,10.9
"PL318","PancrasLock","1",0.352921294041604,0.0420046741020383,33.0223255433981,23.1,2.88,0.0314,0.32,0.00386,0.0202,66.73,0.670000000000002,3.94,12.4
"PL319","PancrasLock","1",0.349928479198327,0.0530828537794005,32.2921563807702,23.2,2.78,0.0318,0.305,0.00407,0.0312,66.6,0.690000000000012,3.51000000000001,11.4
"PL320","PancrasLock","1",0.371494561464934,0.0542576948015994,34.2963431767768,24,2.87,0.0327,0.316,0.00453,0.022,67.51,0.679999999999993,2.70999999999999,11.1
