"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","N5","S","R","I","FS","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"MC501","MarchmontGarden","1",0.131732928563412,-0.0825818454549066,2.68673995935177,2.71908484339761,2.98533118810891,12.1,1.85,0.0239,0.422,0.00994,55.61,10.21,8.53,44.21
"MC502","MarchmontGarden","1",0.294069291191677,-0.177881393024571,3.13396724253385,2.80051879676871,3.10837079354933,6.53,1.48,0.0213,0.357,0.00414,46.46,2.99,13.92,36.55
"MC503","MarchmontGarden","1",0.117849429332005,-0.0648275279617128,2.86414994204294,2.48538700092255,2.86341413305543,11.6,1.56,0.0251,0.337,0.00678,52.91,11.68,10.56,42.07
"MC504","MarchmontGarden","1",0.313670911461151,-0.216456299850285,3.14092623107125,3.04452552026332,3.30573992614204,5.6,1.57,0.0199,0.312,0.00321,45.31,1.72,11.95,35.83
"MC505","MarchmontGarden","1",0.301769966076495,-0.208079197265838,2.75829087261368,3.18512102618499,3.32529084684036,8.26,2.08,0.0221,0.341,0.00533,49.31,2.26000000000001,10.25,41.17
"MC506","MarchmontGarden","1",0.166864166681932,-0.0836660026736726,2.72543926283535,2.76079380439464,2.95170411984056,12.6,1.8,0.0242,0.302,0.00424,53.55,8.34999999999999,9.58000000000001,43.66
"MC507","MarchmontGarden","1",0.238827667237308,-0.0221827420946907,2.64764376485671,2.65660898403643,2.71543223521655,11.9,1.75,0.0286,0.398,0.00482,55.48,7,10.61,45.71
"MC508","MarchmontGarden","1",0.240035824177042,-0.147424732180935,2.74432938083237,2.86516156483953,3.08868668324029,9.4,1.94,0.0234,0.381,0.00556,51.76,5.55,11.33,42.36
"MC509","MarchmontGarden","1",0.112497799057075,-0.0901337010233626,2.77533998953645,2.53243879639879,2.88677262315477,13,1.75,0.0232,0.416,0.00685,52.71,10.5,11.96,42.86
"MC510","MarchmontGarden","1",0.313602051733884,-0.112016991321027,3.03902268835578,2.45302696760964,2.74651910645695,7.9,1.44,0.0241,0.411,0.00738,50.13,2.73,17.77,38.92
"MC511","MarchmontGarden","1",0.30029889251509,-0.0694255276143452,2.96656035881504,2.52652995125266,2.72786765526445,8.47,1.43,0.0262,0.373,0.0071,51.86,4.15,14.63,40.6
"MC512","MarchmontGarden","1",0.204259136046707,0.0211636574658625,2.75849553628255,2.50541890556871,2.55716887106354,15.7,1.48,0.0281,0.316,0.00502,56.9,6.98,11.19,44.93
"MC513","MarchmontGarden","1",0.343703903345329,-0.0917045549507048,3.07845934929217,2.53182472640291,2.74035795278344,7.85,1.33,0.025,0.351,0.00683,51.04,1.63,16.22,38.73
"MC514","MarchmontGarden","1",0.24423066054781,-0.124913974929463,3.21826076225754,2.39553755454891,2.8738761641733,7.4,1.22,0.0235,0.315,0.00463,49.09,6.2,15.6,36.3
"MC515","MarchmontGarden","1",0.236146344442326,-0.0889125165274295,3.01654046371844,2.55841916286866,2.83814059177544,8.99,1.41,0.0233,0.371,0.0076,51.42,5.87,13.39,39.61
"MC516","MarchmontGarden","1",0.253911678099046,-0.150597735509778,3.1522223349125,2.48926402352041,2.95620371989227,7.1,1.38,0.0229,0.399,0.00649,48.89,5.55,15.54,36.77
"MC517","MarchmontGarden","1",0.250202871747336,-0.133552968844911,2.96434828645662,2.37469749124779,2.82329937530273,8.19,1.61,0.0241,0.533,0.0217,50.13,5.85,17.78,39.52
"MC518","MarchmontGarden","1",0.122829403935202,-0.120925511105998,2.92984790294666,2.42465530372859,3.01546192786645,10.2,1.61,0.0245,0.451,0.017,54.79,11.72,11.18,40.29
"MC519","MarchmontGarden","1",0.116539197753816,-0.0548598758199305,2.70589116558782,2.27488466677271,2.63663060584481,13.7,1.75,0.0234,0.39,0.00534,55.56,10.1,15.33,44.41
"MC520","MarchmontGarden","1",0.250791537459748,-0.0629948715379396,3.05622291047243,2.62655079271782,2.87759296995851,9.23,1.28,0.0256,0.399,0.00815,54.48,6.09,10.02,39.54
"MC521","MarchmontGarden","1",0.239163037872883,-0.110499363687767,3.07010502405144,2.57076536216598,2.91719424995771,9.46,1.39,0.0245,0.363,0.00551,50.43,6.08,13.13,38.54
"MC522","MarchmontGarden","1",0.268827358812074,-0.102050456467297,3.02659998726096,2.63524326794836,2.9095700918468,8.94,1.43,0.0258,0.34,0.00491,50.38,5.38,12.62,39.26
"MC523","MarchmontGarden","1",0.347099080058445,-0.145663087684809,3.26587768960863,2.60082487038328,2.93219029925671,5.99,1.21,0.0241,0.325,0.00336,47.04,1.8,15.93,35.3
"MC524","MarchmontGarden","1",0.359078554432892,-0.0753895880272328,3.06302314260524,2.78805859206426,2.82972119863353,7.29,1.31,0.0251,0.321,0.00322,50.43,1.12,12.54,39.2
"MC525","MarchmontGarden","1",0.343070375809734,-0.111643501243545,3.08872114394578,2.76821996915437,2.91074955277533,6.86,1.37,0.0241,0.403,0.004,48.89,1.65,13.51,38.25
"MC526","MarchmontGarden","1",0.227885456971377,-0.0927546589318866,3.04053326675719,2.77450371875707,3.00744062859435,7.77,1.39,0.0236,0.346,0.00911,50.33,6.93,9.42,39.2
